epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.231,2.57303,7.65402,1.1942,0.69993,0.05625,0.06335,0.02179,2.4623,5.64433,1.21724,0.000551185,0.000551185,0.000551185
2,451.001,2.86498,6.48977,1.28421,0.54839,0.0125,0.00868,0.00309,2.79674,6.18345,1.42241,0.00105206,0.00105206,0.00105206
3,659.541,2.85847,6.33571,1.2842,0.62552,0.05625,0.06402,0.01737,3.21371,6.26728,1.47322,0.00149793,0.00149793,0.00149793
4,872.418,3.02512,5.74191,1.29379,0.14859,0.0375,0.0269,0.00788,2.8485,4.72506,1.61222,0.00141945,0.00141945,0.00141945
5,1085.84,2.84873,4.57361,1.29895,0.65658,0.13125,0.08551,0.02622,2.86051,4.02346,1.44879,0.00133693,0.00133693,0.00133693
6,1295.68,2.88371,4.18054,1.33555,0.62299,0.09375,0.0939,0.03715,2.7531,3.42051,1.48964,0.00125442,0.00125442,0.00125442
7,1513.48,2.69675,3.61059,1.25964,0.41805,0.1477,0.12736,0.04539,2.86395,3.10799,1.40531,0.0011719,0.0011719,0.0011719
8,1746.57,2.64469,3.23077,1.27496,0.45408,0.15918,0.1959,0.07219,2.68384,2.95551,1.39532,0.00108938,0.00108938,0.00108938
9,1962.13,2.73047,3.34162,1.17253,0.35414,0.21582,0.18284,0.05259,2.60368,2.62043,1.31615,0.00100687,0.00100687,0.00100687
10,2182.58,2.6078,3.05732,1.17785,0.38313,0.27101,0.22583,0.08624,2.56845,2.51452,1.34032,0.000924352,0.000924352,0.000924352
11,2395.02,2.27433,2.75758,1.06697,0.45904,0.21747,0.23939,0.07801,2.53262,2.53843,1.28771,0.000841835,0.000841835,0.000841835
12,2638.82,2.22558,2.46239,1.15279,0.47325,0.27538,0.27637,0.10068,2.47767,2.32059,1.24493,0.000759318,0.000759318,0.000759318
13,2946.51,2.40849,2.51696,1.0996,0.45201,0.27882,0.28165,0.11568,2.53765,2.30899,1.24635,0.000676802,0.000676802,0.000676802
14,3238.67,2.24243,2.3898,1.07518,0.45369,0.33495,0.29093,0.11062,2.45321,2.34658,1.25382,0.000594286,0.000594286,0.000594286
15,3523.38,2.15482,2.31455,1.07943,0.47367,0.27856,0.30001,0.11528,2.33238,2.36636,1.16881,0.000511769,0.000511769,0.000511769
16,3817.7,2.10552,2.19448,1.04588,0.56335,0.3287,0.33919,0.13064,2.30762,2.04414,1.16989,0.000429253,0.000429253,0.000429253
17,4124.23,2.01373,2.12727,1.00379,0.50727,0.29809,0.32078,0.13402,2.32915,2.02011,1.20966,0.000346736,0.000346736,0.000346736
18,4448.87,2.10571,2.09123,1.02805,0.63371,0.31213,0.37071,0.14128,2.24367,2.01156,1.18017,0.00026422,0.00026422,0.00026422
19,4794.77,1.92208,2.01408,0.97751,0.57145,0.33944,0.36889,0.15558,2.21127,1.93633,1.1648,0.000181703,0.000181703,0.000181703
20,5146.5,1.95003,1.97243,0.97724,0.56507,0.31849,0.35652,0.15835,2.18714,1.97132,1.16598,9.91865e-05,9.91865e-05,9.91865e-05
